"latitude","longitude","elevation","distance"
"42.77534","-9.05421","6.5","0.0"
"42.77508","-9.05508","6.8","76.7"
"42.77502","-9.05522","6.8","89.9"
"42.77474","-9.05550","6.6","128.5"
"42.77425","-9.05489","6.4","202.3"
"42.77411","-9.05465","6.5","227.4"
"42.77394","-9.05432","6.9","260.3"
"42.77376","-9.05382","7.7","305.7"
"42.77352","-9.05343","8.6","347.3"
"42.77343","-9.05315","9.0","372.2"
"42.77341","-9.05292","9.2","391.1"
"42.77342","-9.05273","9.3","406.7"
"42.77326","-9.05177","9.5","487.0"
"42.77310","-9.05146","9.4","517.9"
"42.77297","-9.05114","9.3","547.8"
"42.77277","-9.05056","9.2","600.1"
"42.77246","-9.04988","9.7","665.1"
"42.77215","-9.04921","10.6","730.1"
"42.77192","-9.04894","11.1","763.8"
"42.77163","-9.04869","11.5","802.0"
"42.77127","-9.04851","11.5","844.6"
"42.77045","-9.04823","11.4","938.6"
"42.77013","-9.04818","11.7","974.5"
"42.76982","-9.04819","12.3","1008.9"
"42.76959","-9.04828","12.9","1035.5"
"42.76931","-9.04851","13.8","1071.9"
"42.76915","-9.04866","14.4","1093.5"
"42.76901","-9.04893","15.2","1120.5"
"42.76880","-9.04977","17.6","1192.9"
"42.76868","-9.05049","19.7","1253.2"
"42.76867","-9.05113","21.5","1305.4"
"42.76868","-9.05231","23.5","1401.8"
"42.76865","-9.05278","23.6","1440.3"
"42.76855","-9.05326","23.2","1481.0"
"42.76841","-9.05368","22.7","1518.7"
"42.76814","-9.05418","22.2","1569.3"
"42.76772","-9.05471","22.4","1633.1"
"42.76729","-9.05523","23.6","1696.9"
"42.76663","-9.05583","26.3","1785.1"
"42.76610","-9.05606","28.5","1847.0"
"42.76560","-9.05625","30.5","1904.7"
"42.76520","-9.05629","31.5","1949.3"
"42.76451","-9.05624","32.0","2026.1"
"42.76382","-9.05619","31.5","2103.0"
"42.76323","-9.05620","31.1","2168.6"
"42.76296","-9.05629","31.3","2199.5"
"42.76276","-9.05639","31.7","2223.2"
"42.76243","-9.05667","32.5","2266.4"
"42.76200","-9.05710","33.5","2325.5"
"42.76157","-9.05752","33.7","2384.6"
"42.76139","-9.05775","33.7","2412.0"
"42.76122","-9.05812","33.5","2447.7"
"42.76116","-9.05835","33.4","2467.6"
"42.76114","-9.05883","33.0","2506.8"
"42.76117","-9.05902","32.7","2522.7"
"42.76132","-9.05958","31.4","2571.4"
"42.76148","-9.06010","29.7","2617.4"
"42.76152","-9.06037","28.7","2639.9"
"42.76152","-9.06067","27.6","2664.4"
"42.76148","-9.06094","26.3","2686.9"
"42.76138","-9.06136","24.4","2722.9"
"42.76106","-9.06231","20.7","2808.2"
"42.76074","-9.06326","17.0","2893.6"
"42.76047","-9.06419","13.9","2975.2"
"42.76037","-9.06475","12.5","3022.3"
"42.76039","-9.06516","11.6","3055.8"
"42.76050","-9.06615","9.9","3137.5"
"42.76051","-9.06657","9.7","3171.8"
"42.76042","-9.06703","9.9","3210.7"
"42.76013","-9.06784","10.2","3284.3"
"42.76005","-9.06812","10.2","3308.8"
"42.76000","-9.06845","10.2","3336.3"
"42.76008","-9.06941","10.3","3415.2"
"42.76016","-9.07037","10.9","3494.1"
"42.76015","-9.07070","11.3","3521.0"
"42.76011","-9.07084","11.6","3533.3"
"42.76003","-9.07099","11.9","3548.4"
"42.75993","-9.07122","12.3","3570.3"
"42.75986","-9.07151","12.8","3595.2"
"42.75985","-9.07176","13.1","3615.6"
"42.75990","-9.07220","13.2","3652.0"
